Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Inspektor nadzoru inwestorskiego - oferta konkursowa"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na czas określony"; "ZARZĄD DRÓG POWIATOWYCH W TARNOWSKICH GÓRACH"; "2025-02-13"; 
"Inspektor nadzoru inwestorskiego branży elektrycznej "; "Koszalin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Politechnika Koszalińska"; "2025-01-14"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych  (nr ref. 67/TP/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-21"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych - 1/2 etatu (nr ref. 62/DOM4/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-19"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych - umowa o pracę na zastępstwo (nr ref. 61/DOM5/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę w zastępstwie"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-19"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych (nr ref. 50/DOM9/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-12"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych (nr ref. 52/DOM2/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-12"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych (nr ref. 53/TP/25 ) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-13"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych (nr ref. 54/TP/25 ) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-13"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych (nr ref. 57/EU/25 ) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-14"; 
"Inspektor nadzoru inwestorskiego ds. budowlanych nr ref. 64/TP/25"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-20"; 
"Inspektor nadzoru inwestorskiego ds. elektrycznych"; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "Politechnika Białostocka"; "2025-01-30"; 
"Inspektor nadzoru inwestorskiego ds. elektrycznych (nr ref. 63/DOM5/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-19"; 
"Inspektor nadzoru inwestorskiego ds. elektrycznych nr ref. 49/DOM4/25"; "Warszawa, mazowieckie"; "Umowa o pracę w zastępstwie"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-11"; 
"Inspektor nadzoru inwestorskiego ds. sanitarnych (60/DOM2/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-18"; 
"Inspektor nadzoru inwestorskiego ds. sanitarnych (nr ref. 58/TP/25) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-14"; 
"Inspektor nadzoru inwestorskiego ds. sanitarnych nr ref. 48/DOM1/25"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD GOSPODAROWANIA NIERUCHOMOŚCIAMI W DZIELNICY MOKOTÓW M. ST. WARSZAWY"; "2025-02-11"; 
"Inspektor nadzoru inwestorskiego w branży budowlanej K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "CENTRALNE BIURO ANTYKORUPCYJNE"; "2025-01-24"; 
"Inspektor nadzoru inwestorskiego w branży elektrycznej K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "CENTRALNE BIURO ANTYKORUPCYJNE"; "2025-01-24"; 
"Inspektor Nadzoru Inwestorskiego- Rejon Dróg Wojewódzkich w Ustrzykach Dolnych"; "Ustjanowa Górna, podkarpackie"; "Umowa o pracę na czas określony"; "PODKARPACKI ZARZĄD DRÓG WOJEWÓDZKICH RZESZÓW"; "2025-01-16"; 
"INSPEKTOR NADZORU TECHNICZNEGO"; "Stargard, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Stargardzkie Towarzystwo Budownictwa Społecznego Sp. z o.o. w Stargardzie"; "2025-01-24"; 
"Inspektor ochrony danych"; "Cieszyn, śląskie"; "Umowa o pracę na czas określony"; "Sąd Rejonowy w Cieszynie"; "2025-01-28"; 
"Inspektor ochrony gmachu"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Teatr Wielki - Opera Narodowa"; "2025-02-17"; 
"Inspektor ochrony gmachu K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Teatr Wielki - Opera Narodowa"; "2025-02-17"; 
"Inspektor ochrony przeciwpożarowej"; "Ciechanów, mazowieckie"; "Umowa o pracę na okres próbny"; "22 Wojskowy Oddział Gospodarczy w Olsztynie"; "2025-02-14"; 
"Inspektor ochrony przeciwpożarowej"; "Przemyśl, podkarpackie"; "Umowa o pracę na czas określony"; "20 Przemyska Brygada Obrony Terytorialnej"; "2025-02-20"; 
"Inspektor ochrony środowiska"; "Przemyśl, podkarpackie"; "Umowa o pracę na czas określony"; "20 Przemyska Brygada Obrony Terytorialnej"; "2025-02-20"; 
"Inspektor Technicznego Utrzymania Nieruchomości"; "Rząska, małopolskie"; "Umowa o pracę na czas określony"; "35 WOJSKOWY ODDZIAŁ GOSPODARCZY"; "2025-01-27"; 
"Inspektor Technicznego Utrzymania Nieruchomości "; "Koszalin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; "2025-02-06"; 
"Inspektor Technicznego Utrzymania Nieruchomości (Branża Sanitarna)"; "Balice, małopolskie"; "Umowa o pracę na okres próbny"; "JEDNOSTKA WOJSKOWA 1155 (8 BAZA LOTNICTWA TRANSPORTOWEGO W KRAKOWIE-BALICACH)"; "2024-11-26"; 
"Inspektor Technicznego Utrzymania Nieruchomości (sekcja technicznego utrzymania nieruchomości)"; "Olsztyn, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "22. Wojskowy Oddział Gospodarczy w Olsztynie"; "2025-02-06"; 
"Inspektor technicznego utrzymania nieruchomości(Świętoszów)"; "Świętoszów, dolnośląskie"; "Umowa o pracę na okres próbny"; "43 Wojskowy Oddział Gospodarczy w Świętoszowie"; "2025-02-10"; 
"Inspektor techniczny"; "Świdnik, lubelskie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA MIESZKANIOWA W ŚWIDNIKU"; "2025-02-12"; 
"Inspektor techniczny K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-19"; 
"Inspektor w Dziale Administracyjno-Gospodarczym i Zamówień Publicznych lub Specjalista w Dziale Administracyjno-Gospodarczym i Zamówień Publicznych"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "DOLNOŚLĄSKI WOJEWÓDZKI OŚRODEK MEDYCYNY PRACY"; "2025-01-10"; 
"Inspektor w dziale przetargów"; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "WODOCIĄGI BIAŁOSTOCKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"Inspektor w Pionie Utrzymania Ciągłości Świadczenia Usług "; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "WODOCIĄGI BIAŁOSTOCKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Inspektor w Powiatowym Zespole ds. Orzekania o Niepełnosprawności - oferta konkursowa"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na czas określony"; "STAROSTWO POWIATOWE W TARNOWSKICH GÓRACH"; "2025-02-10"; 
"Inspektor w Referacie Odpadów Przemysłowych i Ochrony Powierzchni Ziemi w Wydziale Kształtowania Środowiska w Urzędzie Miasta Katowice"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "URZĄD MIASTA KATOWICE"; "2025-02-13"; 
"Inspektor w Referacie Organizacyjno-Administracyjnym w Wydziale Administracyjnym w Urzędzie Miasta Katowice"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "URZĄD MIASTA KATOWICE"; "2025-02-10"; 
"Inspektor w Referacie Projektów Infrastrukturalnych, Międzynarodowych i Koordynacji ZIT w Wydziale Funduszy Europejskich w Urzędzie Miasta Katowice"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "URZĄD MIASTA KATOWICE"; "2025-02-06"; 
"Inspektor w resorcie finansowo-budżetowym"; "Szczyrk, śląskie"; "Umowa o pracę na okres próbny"; "Urząd Miejski w Szczyrku"; "2025-01-23"; 
"Inspektor w sekcji technicznej"; "Płock, mazowieckie"; "Umowa o pracę na czas określony"; "Zarząd Dróg Powiatowych w Płocku"; "2025-02-10"; 
"Inspektor w Wydziale Gospodarki Gruntami i Architektury "; "Września, wielkopolskie"; "Umowa o pracę na czas określony"; "Urząd Miasta i Gminy we Wrześni"; "2025-02-19"; 
"Inspektor w Wydziale Kontroli i Skarg"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "Zarząd Lokali Miejskich"; "2025-02-12"; 
"Inspektor w Wydziale Mechanicznym"; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "WODOCIĄGI BIAŁOSTOCKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Inspektor w Wydziale Przygotowania Inwestycji"; "Olsztyn, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Zarząd Dróg Wojewódzkich w Olsztynie"; "2025-02-17"; 
"INSPEKTOR W ZESPOLE KREDYTÓW"; "Tczew, pomorskie"; "Umowa o pracę na okres próbny"; "BANK SPÓŁDZIELCZY W TCZEWIE"; "2025-02-06"; 
"Inspektor Weterynaryjny do spraw: ochrony zdrowia zwierząt i zwalczania chorób zakaźnych zwierząt w zespole ds. zdrowia i ochrony zwierząt"; "Braniewo, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "POWIATOWY INSPEKTORAT WETERYNARII W BRANIEWIE"; "2025-02-06"; 
"INSPEKTOR WETERYNARYJNY DS. ZDROWIA i OCHRONY ZWIĘRZĄT  "; "Tczew, pomorskie"; "Umowa o pracę na czas określony"; "POWIATOWY INSPEKTORAT WETERYNARII W TCZEWIE"; "2025-02-21"; 
"Inspektor Wojewódzki do spraw nadzoru i kontroli nad jednostkami samorządu terytorialnego w Wydziale Polityki Społecznej, Oddział Nadzoru i Kontroli "; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Pomorski Urząd Wojewódzki w Gdańsku"; "2025-02-18"; 
"Inspektor Wojewódzki do spraw nadzoru i kontroli w Wojewódzkim Zespole ds. Orzekania o Niepełnosprawności "; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Pomorski Urząd Wojewódzki w Gdańsku"; "2025-02-19"; 
"Inspektor Wojewódzki do spraw nadzoru i kontroli w Wydziale Polityki Społecznej, Oddział Wspierania Rodziny i Systemu Pieczy Zastępczej"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Pomorski Urząd Wojewódzki w Gdańsku"; "2025-02-20"; 
"Inspektor Zakładów Górniczych ds. budowlanych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Okręgowy Urząd Górniczy"; "2025-02-07"; 
"Inspektor Zakładów Górniczych ds. elektrycznych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Okręgowy Urząd Górniczy"; "2025-02-07"; 
"Inspektor Zakładów Górniczych ds. mechanicznych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Okręgowy Urząd Górniczy"; "2025-02-07"; 
"Inspektor Zakładów Górniczych ds. miernictwa górniczego"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Okręgowy Urząd Górniczy"; "2025-01-30"; 
"Inspektor- starszy specjalista  doradca zawodowy w zakresie realizacji projektu pn. Kompleksowe działania szkoleniowo aktywizacyjne mające na celu przygotowanie osób odbywających karę pozbawienia wolności do skutecznego powrotu na rynek pracy ..."; "Międzyrzecz, lubuskie"; "Umowa o pracę na czas określony"; "Okręgowy Inspektorat Służby Więziennej"; "2025-02-18"; 
"Inspektor, Stanowisko pracy ds. obsługi kadrowej pracowników OR "; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; "Agencja Restrukturyzacji i Modernizacji Rolnictwa Pomorski Oddział Regionalny"; "2025-02-13"; 
"Inspektor(FEWiM III)"; "Nidzica, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Inspektor/specjalista ds. sprzedaży kredytów R/0062-/25"; "Kowal, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BANK SPÓŁDZIELCZY W KOWALU"; "2025-01-14"; 
"Inspektor/st. inspektor"; "Łódź, łódzkie"; "Umowa o pracę na okres próbny"; "INSTYTUT PAMIĘCI NARODOWEJ Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu"; "2025-01-30"; 
"Inspektor/St. Inspektor/Specjalista ds. kadrowych"; "Wrocław, dolnośląskie"; "Umowa o pracę w zastępstwie"; "SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI WE WROCŁAWIU"; "2025-02-13"; 
"Inspektor/Starszy inspektor ds. finansowo-księgowych K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Ośrodek Pomocy Społecznej Dzielnicy Targówek m.st. Warszawy"; "2025-02-13"; 
"Inspektor/starszy specjalista doradca zawodowy "; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "OKRĘGOWY INSPEKTORAT SŁUŻBY WIĘZIENNEJ W KRAKOWIE"; "2025-02-07"; 
"Instalator"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-02-13"; 
"Instalator"; "Ciechanów, mazowieckie"; "Umowa o pracę na okres próbny"; "T4B Sp. z o.o."; "2025-02-17"; 
"Instalator "; "Gostyń, wielkopolskie"; "Umowa o pracę na czas określony"; "Gostyńska Spółdzielnia Mieszkaniowa"; "2025-01-02"; 
"Instalator "; "Koszalin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "AGENCJA OCHRONY ""LEX-CRIMEN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"Instalator "; "Węgierska Górka, śląskie"; "Umowa o pracę na czas określony"; "ALEKSANDER BARABASZ P.P.H.U. ""TELKOM"""; "2025-02-06"; 
"Instalator "; "Tychy, śląskie"; "Umowa o pracę na okres próbny"; """COMPUTER WORLD"" S.C. WARDYŃ DARIUSZ, DŁUGOŃ HALINA"; "2025-02-07"; 
"instalator  wodno kanalizacyjny"; "Lądek-Zdrój, dolnośląskie"; "Umowa o pracę na okres próbny"; "JAWA PROPERTIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-19"; 
"Instalator / pomocnik instalatora"; "Świerklaniec, śląskie"; "Umowa o pracę na czas nieokreślony"; "ZETEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-02"; 
"Instalator / serwisant urządzeń chłodniczych"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas określony"; "IT CONTROL SP. Z O.O."; "2025-01-10"; 
"Instalator C.O."; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "Termo-Spaw Michał Baron"; "2025-01-24"; 
"Instalator CO i klimatyzacji"; "Gliwice, śląskie"; "Umowa o pracę na czas określony"; "MABAPA-FIRMA PRODUKCYJNO-USŁUGOWO-HANDLOWA PIOTR CHUDOBA"; "2025-01-24"; 
"Instalator Serwisant Klimatyzacji, Pomp Ciepła"; "Łazory, podkarpackie"; "Umowa o pracę na czas określony"; "KRZYSZTOF KIDA"; "2025-01-10"; 
"Instalator sieci niskoprądowych"; "Albigowa, podkarpackie"; "Umowa o pracę na okres próbny"; "Dawid Ożóg Helpik"; "2025-01-27"; 
"Instalator sieci światłowodowych"; "Ełk, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AlfaNet Tomasz Wszeborowski"; "2024-11-07"; 
"Instalator sieci światłowodowych"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Connects Spółka z ograniczoną odpowiedzialnością"; "2025-02-20"; 
"Instalator sieci wodnych i kanalizacyjnych"; "Siemianowice Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "DOMBUD MINTEX Sp. z o. o."; "2025-01-07"; 
"Instalator systemów zabezpieczenia technicznego"; "Krosno, podkarpackie"; "Umowa o pracę na czas określony"; "ARMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Instalator wod-kan"; "Zabrze, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "YACH RAFAŁ JACH"; "2025-01-10"; 
"Instalator wod-kan c.o. i gaz (konserwacja budynków)"; "Ruda Śląska, śląskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD INSTALACJI SANITARNYCH WOD-KAN, C.O. I GAZU NOWAK WIESŁAW"; "2025-02-11"; 
"Instalator wod-kan-gaz-C.O."; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "USŁUGI WIELOBRANŻOWE OGRODNICTWO PIELĘGNACJA TERENÓW ZIELONYCH ANDRZEJ KOSTORZ"; "2025-02-17"; 
"Instalator wod-kan, c.o., klimatyzacji, wentylacji"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "NTG (NOWOCZESNA TECHNIKA GRZEWCZA) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"Instalator wod-kan, gaz i CO"; "Świętochłowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "HOJKA TOMASZ INSTALACJE SANITARNO GAZOWE"; "2025-01-08"; 
"Instalator wod-kan."; "Bielsko-Biała, śląskie"; "Umowa o pracę na okres próbny"; "Roboty Ogólnobudowlane Henryk Getfert"; "2025-01-29"; 
"Instalator wod-kan. C.O, gaz"; "Świętochłowice, śląskie"; "Umowa o pracę na okres próbny"; "MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI LOKALOWEJ W ŚWIĘTOCHŁOWICACH Sp. z o. o."; "2025-02-13"; 
"Instalator wod. kan. i CO"; "Ogrodzieniec, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWE PROBUDREM KAZIMIERZ LIPIŃSKI spółka jawna"; "2025-01-31"; 
"instalator wod.-kan., c.o., gaz"; "Zabrze, śląskie"; "Umowa o pracę na okres próbny"; """BARTE"" INŻ. JÓZEF BARTKOWIAK"; "2025-01-03"; 
"instalator wod.-kan./majster"; "Zabrze, śląskie"; "Umowa o pracę na czas nieokreślony"; "KAROD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Instalator wodno-kanalizacyjny"; "Nochowo, wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE JERZY NAWROCKI"; "2025-01-24"; 
"Instalator-serwisant systemów alarmowych i CCTV"; "Iława, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Solid Security Sp. z o.o."; "2024-10-01"; 
"Instalator, monter sieci komputerowych, światłowodowych, elektryk, instalator systemów CCTV  (Legionowo, Warszawa oraz delegacje na terenie całego kraju)"; "Legionowo, mazowieckie"; "Umowa o pracę na czas określony"; "DODAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Instalator/serwisant"; "Krosno, podkarpackie"; "Umowa o pracę na okres próbny"; "CERBEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-14"; 
"Instruktor"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"INSTRUKTOR"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "JEDNOSTKA WOJSKOWA 2454"; "2025-02-05"; 
"Instruktor ds kulturalno - oświatowych"; "Glinik Dolny, podkarpackie"; "Umowa o pracę w zastępstwie"; "Dom Pomocy Społecznej im. Jana Pawła II Glinik Dolny"; "2025-02-10"; 
"Instruktor ds spawania (doposażenie)"; "Jelenia Góra, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2024-12-12"; 
"instruktor ds. koordynacji i rozwoju kultury i nauki"; "Złotoryja, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Instruktor ds. kulturalno - oświatowych"; "Siedlce, mazowieckie"; "Umowa o pracę w zastępstwie"; "Środowiskowy Dom Samopomocy w Siedlcach"; "2025-02-17"; 
"Instruktor fitness - Xtreme Fitness Gyms Staszów"; "Staszów, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ARKKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-23"; 
"Instruktor gry na skrzypcach , dodatk. pianino"; "Polkowice, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AGATA JAKUBAS"; "2025-02-11"; 
"Instruktor higieny"; "Oleśnica, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Instruktor jazdy konnej"; "Piecki, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KLUB JEŹDZIECKI DOBRE MIEJSCE"; "2024-12-18"; 
"instruktor muzyki"; "Gościeszowice, lubuskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "GMINNE CENTRUM KULTURY W NIEGOSŁAWICACH Z/S W GOŚCIESZOWICACH"; "2025-02-12"; 
"Instruktor nauki jazdy"; "Lipno, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Ośrodek Szkolenia Kierowców QURSANT Tadeusz Włodarczyk"; "2025-02-10"; 
"Instruktor nauki jazdy"; "Nowa Sól, lubuskie"; "Umowa o pracę na okres próbny"; "Ośrodek Szkolenia Kierowców ""Aura"" Józef Dysiewicz"; "2025-02-18"; 
"Instruktor nauki jazdy"; "Potoczek, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego w Potoczku"; "2025-02-21"; 
"INSTRUKTOR NAUKI JAZDY"; "Polkowice, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Nauka Jazdy Mordzak Spółka z Ograniczoną Odpowiedzialnością"; "2025-02-18"; 
"Instruktor nauki jazdy kat. A lub B lub C"; "Chełm, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CABRIO Andrzej Nelc"; "2025-01-30"; 
"Instruktor nauki jazdy kat. B"; "Białogard, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Liga Obrony Kraju"; "2025-01-22"; 
"Instruktor nauki jazdy kat. B (nr 0165)"; "Inowrocław, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "1. PRZEDSIĘBIORSTWO USŁUGOWE ECO DRIVE MARLENA CICHOCKA 2. BUTIK ODZIEŻOWY ""NATALIA"" MARLENA CICHOCKA"; "2025-01-27"; 
"instruktor nauki jazdy kat.B"; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "OŚRODEK SZKOLENIA KIEROWCÓW ""CHAMPION"" PIOTR STRYGUN"; "2025-02-05"; 
"Instruktor praktycznej nauki zawodu"; "Ostrowiec Świętokrzyski, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Szkół Nr 2 w Ostrowcu Świętokrzyskim"; "2024-10-24"; 
"Instruktor praktycznej nauki zawodu pielęgnacji terenów zielonych"; "Róża Wielka, wielkopolskie"; "Umowa o pracę na czas określony"; "FUNDACJA NOWY HORYZONT"; "2025-01-10"; 
"Instruktor praktycznej nauki zawodu warsztat gastronomiczny"; "Róża Wielka, wielkopolskie"; "Umowa o pracę na czas określony"; "FUNDACJA NOWY HORYZONT"; "2025-01-10"; 
"Instruktor prowadzenia zajęć ogólnorozwojowych z dziecmi"; "Iława, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "GABINET TERAPII PEDAGOGICZNEJ ""EDUFUN"" MGR AGNIESZKA OSMAŃSKA"; "2024-10-25"; 
"Instruktor reintegracji zawodowej w pracowni pralni"; "Pisz, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-20"; 
"Instruktor rekreacji ruchowej."; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ SPORTOWYCH"; "2025-02-10"; 
"Instruktor sportów siłowych"; "Leszno, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-11-06"; 
"instruktor terapii"; "Biała Podlaska, lubelskie"; "Umowa o pracę na czas określony"; "ŚRODOWISKOWY DOM SAMOPOMOCY"; "2025-01-24"; 
"instruktor terapii  zajęciowej"; "Urzecze, łódzkie"; "Umowa o pracę na okres próbny"; "Caritas Diecezji Łowickiej"; "2025-01-23"; 
